ID Karyawan,Nama Karyawan,Jenis Kelamin,Email,Jabatan,Status Kerja,Gaji Pokok,Tunjangan Jabatan,Bank,No. Rekening,Hari Hadir,Hari Sakit,Hari Cuti,Hari Alpha,Status Input,Jam_Lembur
KRY-016,Nadia Maulana,Perempuan,nadia.maulana78@gmail.com,Logistik & Gudang,TETAP,12052000,1490000,BSI,6967414997,19,2,0,1,TERCATAT,9
KRY-017,Fajar Aulia,Laki-laki,fajar.aulia16@yahoo.com,Keuangan & Akuntansi,TETAP,5362000,949000,BCA,3368297748,19,2,1,0,TERCATAT,12
KRY-018,Aditya Kurniawan,Laki-laki,aditya.kurniawan71@outlook.com,Keuangan & Akuntansi,KONTRAK,7996000,790000,BNI,2204929261,20,1,1,0,TERCATAT,10
KRY-019,Bella Mahendra,Perempuan,bella.mahendra90@hotmail.com,Administrasi,KONTRAK,9455000,1389000,Mandiri,7269299553,18,0,1,3,TERCATAT,20
KRY-020,Wulan Susanto,Perempuan,wulan.susanto99@outlook.com,Logistik & Gudang,KONTRAK,14291000,2802000,BSI,7381292064,22,2,2,0,TERCATAT,2
KRY-021,Citra Maulana,Perempuan,citra.maulana10@hotmail.com,Produksi,TETAP,5426000,543000,BRI,6356247015,22,0,0,0,TERCATAT,5
KRY-022,Joko Aulia,Laki-laki,joko.aulia99@yahoo.com,Public Relations (PR),TETAP,9618000,1440000,BRI,1392253539,18,2,0,2,TERCATAT,5
KRY-023,Taufik Setiawan,Laki-laki,taufik.setiawan34@outlook.com,Public Relations (PR),TETAP,10680000,1912000,BRI,1111382660,18,0,0,4,TERCATAT,10
KRY-024,Vina Nugraha,Perempuan,vina.nugraha13@gmail.com,Teknologi Informasi (IT),TETAP,7258000,595000,BNI,5528927095,21,0,0,1,TERCATAT,9
KRY-025,Fajar Kurniawan,Laki-laki,fajar.kurniawan46@gmail.com,Pengadaan (Procurement),KONTRAK,8606000,800000,BCA,9990377301,18,1,1,2,TERCATAT,15
KRY-026,Jihan Haryanto,Perempuan,jihan.haryanto87@gmail.com,Produksi,TETAP,9492000,780000,BSI,7013875175,20,0,0,2,TERCATAT,15
KRY-027,Oscar Anggraini,Laki-laki,oscar.anggraini95@yahoo.com,Customer Service,KONTRAK,9671000,994000,BSI,4745011896,21,1,1,0,TERCATAT,16
KRY-028,Eko Aulia,Laki-laki,eko.aulia34@gmail.com,Operasional,KONTRAK,21937000,3903000,BSI,1218225680,19,1,0,2,TERCATAT,2
KRY-029,Eko Hakim,Laki-laki,eko.hakim22@outlook.com,Produksi,TETAP,9577000,1859000,BSI,3226843361,19,2,1,0,TERCATAT,16
KRY-030,Kevin Suryanto,Laki-laki,kevin.suryanto76@gmail.com,Operasional,TETAP,9099000,887000,BNI,6281636927,20,2,0,0,TERCATAT,6
KRY-031,Wulan Putra,Perempuan,wulan.putra67@gmail.com,Pemasaran,TETAP,10845000,1648000,Mandiri,2345587393,22,0,0,0,TERCATAT,11
KRY-032,Dewi Siregar,Perempuan,dewi.siregar47@yahoo.com,Riset & Pengembangan (R&D),KONTRAK,7865000,1216000,BCA,6729351391,18,0,2,2,TERCATAT,17
KRY-033,Dimas Nugraha,Laki-laki,dimas.nugraha40@hotmail.com,Teknologi Informasi (IT),KONTRAK,5609000,761000,Mandiri,3619838692,21,2,0,0,TERCATAT,5
KRY-034,Hendra Wijaya,Laki-laki,hendra.wijaya88@yahoo.com,Teknologi Informasi (IT),TETAP,10049000,1834000,BSI,6080995732,22,2,2,0,TERCATAT,5
KRY-035,Fajar Ramadhan,Laki-laki,fajar.ramadhan53@yahoo.com,Penjualan,TETAP,15863000,2883000,Mandiri,6719739273,22,2,2,0,TERCATAT,4
KRY-036,Indah Utami,Perempuan,indah.utami87@yahoo.com,Legal,TETAP,11755000,1074000,Mandiri,5175170334,22,2,1,0,TERCATAT,18
KRY-037,Dimas Siregar,Laki-laki,dimas.siregar41@company.co.id,Customer Service,KONTRAK,11289000,1051000,BRI,5819611414,21,0,0,1,TERCATAT,17
KRY-038,Hani Anggraini,Perempuan,hani.anggraini56@outlook.com,Pemasaran,TETAP,10097000,1343000,BSI,6459222046,18,0,1,3,TERCATAT,10
KRY-039,Iqbal Putra,Laki-laki,iqbal.putra61@hotmail.com,Logistik & Gudang,KONTRAK,5473000,1076000,BSI,7681525902,20,2,1,0,TERCATAT,14
KRY-040,Wulan Haryanto,Perempuan,wulan.haryanto31@gmail.com,Legal,TETAP,6896000,955000,Mandiri,6225028969,20,1,1,0,TERCATAT,12
KRY-041,Nanda Saputra,Laki-laki,nanda.saputra67@yahoo.com,Operasional,KONTRAK,13641000,1428000,Mandiri,3129039553,19,1,2,0,TERCATAT,3
KRY-042,Kartika Mahendra,Perempuan,kartika.mahendra49@yahoo.com,Logistik & Gudang,TETAP,13381000,1416000,BSI,2586737184,19,2,0,1,TERCATAT,8
KRY-043,Hendra Aulia,Laki-laki,hendra.aulia76@hotmail.com,Sumber Daya Manusia (HRD),TETAP,12197000,2251000,BSI,3526769403,19,2,0,1,TERCATAT,3
KRY-044,Vina Yulianto,Perempuan,vina.yulianto52@yahoo.com,Logistik & Gudang,KONTRAK,13617000,2307000,BSI,9154658353,18,2,2,0,TERCATAT,4
KRY-045,Miko Hakim,Laki-laki,miko.hakim69@hotmail.com,Operasional,KONTRAK,9400000,867000,Mandiri,3710679829,22,0,0,0,TERCATAT,16
KRY-046,Dimas Haryanto,Laki-laki,dimas.haryanto76@yahoo.com,Pemasaran,TETAP,12847000,1407000,BRI,7892160679,20,1,0,1,TERCATAT,7
KRY-047,Lukman Putra,Laki-laki,lukman.putra84@gmail.com,Operasional,KONTRAK,10964000,1666000,BRI,9949665869,18,1,2,1,TERCATAT,4
KRY-048,Wulan Hidayat,Perempuan,wulan.hidayat57@company.co.id,Produksi,TETAP,10044000,1662000,BCA,8507069314,21,0,1,0,TERCATAT,11
KRY-049,Miko Kurniawan,Laki-laki,miko.kurniawan12@hotmail.com,Teknologi Informasi (IT),TETAP,7840000,1154000,BSI,3059806635,19,1,0,2,TERCATAT,17
KRY-050,Citra Wijaya,Perempuan,citra.wijaya32@yahoo.com,Public Relations (PR),KONTRAK,11031000,1563000,BRI,4327052687,19,2,1,0,TERCATAT,6
KRY-051,Wulan Setiawan,Perempuan,wulan.setiawan75@outlook.com,Keuangan & Akuntansi,KONTRAK,8421000,743000,BRI,6210748778,19,1,2,0,TERCATAT,9
KRY-052,Jihan Yulianto,Perempuan,jihan.yulianto19@gmail.com,Operasional,KONTRAK,7370000,1131000,BNI,4794360166,21,1,2,0,TERCATAT,7
KRY-053,Indah Santoso,Perempuan,indah.santoso46@outlook.com,Pemasaran,KONTRAK,8763000,982000,BCA,6634921635,18,0,2,2,TERCATAT,5
KRY-054,Citra Kusuma,Perempuan,citra.kusuma30@gmail.com,Logistik & Gudang,TETAP,12274000,2351000,BNI,2173317494,18,2,2,0,TERCATAT,7
KRY-055,Nadia Saputra,Perempuan,nadia.saputra91@company.co.id,Teknologi Informasi (IT),TETAP,13976000,1741000,BNI,6343497605,18,1,0,3,TERCATAT,5
KRY-056,Teguh Suryanto,Laki-laki,teguh.suryanto20@company.co.id,Penjualan,KONTRAK,10709000,2022000,BSI,3523413731,19,1,2,0,TERCATAT,6
KRY-057,Cahyo Hidayat,Laki-laki,cahyo.hidayat17@hotmail.com,Quality Control (QC),KONTRAK,10320000,998000,Mandiri,6905041584,18,2,0,2,TERCATAT,6
KRY-058,Farhan Purnama,Laki-laki,farhan.purnama91@hotmail.com,Customer Service,KONTRAK,17575000,3499000,BRI,8179957213,20,1,1,0,TERCATAT,4
KRY-059,Salma Putra,Perempuan,salma.putra34@hotmail.com,Penjualan,TETAP,6105000,744000,BNI,5376070456,20,0,1,1,TERCATAT,2
KRY-060,Eko Ramadhan,Laki-laki,eko.ramadhan50@yahoo.com,Produksi,KONTRAK,7962000,1447000,BRI,8934347818,19,1,2,0,TERCATAT,15
KRY-061,Iqbal Anggraini,Laki-laki,iqbal.anggraini22@yahoo.com,Sumber Daya Manusia (HRD),TETAP,9678000,952000,BRI,2725814829,18,1,1,2,TERCATAT,20
KRY-062,Eko Wijaya,Laki-laki,eko.wijaya32@hotmail.com,Pemasaran,TETAP,7155000,1104000,BNI,6947566084,20,0,0,2,TERCATAT,13
KRY-063,Eko Nugraha,Laki-laki,eko.nugraha96@company.co.id,Pengadaan (Procurement),TETAP,7663000,639000,BNI,8084552247,18,0,0,4,TERCATAT,6
KRY-064,Putri Siregar,Perempuan,putri.siregar57@hotmail.com,Teknologi Informasi (IT),TETAP,15343000,1345000,BSI,1733066656,18,2,0,2,TERCATAT,5
KRY-065,Kartika Wijaya,Perempuan,kartika.wijaya70@gmail.com,Legal,TETAP,11355000,2110000,BRI,4073776451,22,1,0,0,TERCATAT,10
KRY-066,Rafi Ananda,Laki-laki,rafi.ananda77@gmail.com,Pengadaan (Procurement),KONTRAK,11928000,1967000,BSI,7516237892,20,2,2,0,TERCATAT,3
KRY-067,Iqbal Maulana,Laki-laki,iqbal.maulana85@company.co.id,Sumber Daya Manusia (HRD),TETAP,7178000,577000,BSI,9970704357,21,2,1,0,TERCATAT,13
KRY-068,Umar Putra,Laki-laki,umar.putra11@hotmail.com,Logistik & Gudang,KONTRAK,15668000,2934000,BNI,3031333205,18,1,1,2,TERCATAT,1
KRY-069,Lukman Ananda,Laki-laki,lukman.ananda48@hotmail.com,Sumber Daya Manusia (HRD),KONTRAK,17958000,1980000,Mandiri,9721635969,21,0,2,0,TERCATAT,11
KRY-070,Hendra Kusuma,Laki-laki,hendra.kusuma32@gmail.com,Pengadaan (Procurement),TETAP,8240000,1345000,BNI,1476884696,21,0,2,0,TERCATAT,2
KRY-071,Fajar Hakim,Laki-laki,fajar.hakim91@gmail.com,Pengadaan (Procurement),KONTRAK,7898000,1015000,BNI,3422755215,18,1,0,3,TERCATAT,14
KRY-072,Taufik Pratama,Laki-laki,taufik.pratama80@gmail.com,Customer Service,KONTRAK,9306000,1808000,Mandiri,2155673176,21,1,1,0,TERCATAT,11
KRY-073,Maya Hakim,Perempuan,maya.hakim66@hotmail.com,Teknologi Informasi (IT),KONTRAK,10234000,1140000,BNI,8132203210,22,0,0,0,TERCATAT,0
KRY-074,Iqbal Haryanto,Laki-laki,iqbal.haryanto16@hotmail.com,Logistik & Gudang,TETAP,14603000,1177000,BCA,9357325860,19,0,1,2,TERCATAT,16
KRY-075,Budi Wijaya,Laki-laki,budi.wijaya82@outlook.com,Keuangan & Akuntansi,TETAP,14960000,1537000,BNI,7113254507,22,0,1,0,TERCATAT,20
KRY-076,Prita Purnama,Perempuan,prita.purnama84@outlook.com,Administrasi,TETAP,7519000,1082000,Mandiri,4572021779,19,2,1,0,TERCATAT,2
KRY-077,Umar Haryanto,Laki-laki,umar.haryanto35@gmail.com,Operasional,KONTRAK,6158000,744000,BNI,7258786591,22,2,1,0,TERCATAT,6
KRY-078,Galih Firmansyah,Laki-laki,galih.firmansyah95@gmail.com,Penjualan,KONTRAK,6662000,838000,Mandiri,5220812058,19,0,0,3,TERCATAT,11
KRY-079,Joko Kurniawan,Laki-laki,joko.kurniawan49@outlook.com,Sumber Daya Manusia (HRD),KONTRAK,6742000,1252000,BSI,9221491383,22,2,2,0,TERCATAT,17
KRY-080,Dimas Hidayat,Laki-laki,dimas.hidayat56@yahoo.com,Sumber Daya Manusia (HRD),TETAP,9821000,1872000,BRI,3383438868,21,2,1,0,TERCATAT,11
KRY-081,Sari Firmansyah,Perempuan,sari.firmansyah72@hotmail.com,Quality Control (QC),TETAP,13218000,1231000,BCA,3821468910,18,1,2,1,TERCATAT,18
KRY-082,Sari Kurniawan,Perempuan,sari.kurniawan86@yahoo.com,Sumber Daya Manusia (HRD),TETAP,14272000,1456000,Mandiri,2019720140,20,2,2,0,TERCATAT,10
KRY-083,Farhan Santoso,Laki-laki,farhan.santoso93@yahoo.com,Operasional,TETAP,14446000,1246000,BSI,6316962999,19,2,0,1,TERCATAT,8
KRY-084,Hani Susanto,Perempuan,hani.susanto67@yahoo.com,Pemasaran,KONTRAK,7220000,697000,BNI,4469395201,20,1,0,1,TERCATAT,6
KRY-085,Laras Purnama,Perempuan,laras.purnama16@outlook.com,Customer Service,TETAP,9560000,1096000,BRI,3258841132,20,2,2,0,TERCATAT,0
KRY-086,Rafi Putra,Laki-laki,rafi.putra83@hotmail.com,Operasional,TETAP,9039000,1046000,BCA,8029760944,18,1,2,1,TERCATAT,19
KRY-087,Jihan Ananda,Perempuan,jihan.ananda92@yahoo.com,Administrasi,KONTRAK,6851000,666000,BNI,9817129910,22,1,0,0,TERCATAT,15
KRY-088,Rizky Suryanto,Laki-laki,rizky.suryanto80@gmail.com,Quality Control (QC),TETAP,11395000,1550000,BCA,6269720749,19,0,0,3,TERCATAT,2
KRY-089,Aditya Anggraini,Laki-laki,aditya.anggraini21@company.co.id,Administrasi,KONTRAK,13795000,2275000,BNI,9462256602,22,0,0,0,TERCATAT,6
KRY-090,Fajar Wibowo,Laki-laki,fajar.wibowo59@hotmail.com,Pengadaan (Procurement),KONTRAK,10335000,1952000,BCA,4115084579,19,2,2,0,TERCATAT,18
KRY-091,Andi Hidayat,Laki-laki,andi.hidayat98@yahoo.com,Riset & Pengembangan (R&D),TETAP,9232000,1645000,Mandiri,3880627999,20,2,1,0,TERCATAT,11
KRY-092,Farhan Kusuma,Laki-laki,farhan.kusuma74@hotmail.com,Produksi,KONTRAK,14218000,1772000,BRI,3275900828,20,0,1,1,TERCATAT,17
KRY-093,Nadia Hidayat,Perempuan,nadia.hidayat27@yahoo.com,Quality Control (QC),TETAP,14008000,1864000,BSI,8636492494,19,0,1,2,TERCATAT,20
KRY-094,Prita Ananda,Perempuan,prita.ananda59@company.co.id,Pengadaan (Procurement),TETAP,9607000,996000,Mandiri,9378377384,20,0,1,1,TERCATAT,15
KRY-095,Indah Mulyani,Perempuan,indah.mulyani27@yahoo.com,Logistik & Gudang,KONTRAK,11483000,995000,BSI,9320838378,22,0,2,0,TERCATAT,19
KRY-096,Rafi Mahendra,Laki-laki,rafi.mahendra92@company.co.id,Teknologi Informasi (IT),TETAP,9714000,1024000,BSI,8771156442,19,1,1,1,TERCATAT,19
KRY-097,Putri Purnama,Perempuan,putri.purnama43@company.co.id,Teknologi Informasi (IT),KONTRAK,8695000,1465000,BRI,1617257994,22,1,1,0,TERCATAT,5
KRY-098,Elsa Siregar,Perempuan,elsa.siregar22@gmail.com,Penjualan,TETAP,7302000,1083000,BSI,2546538906,18,0,0,4,TERCATAT,13
KRY-099,Teguh Aulia,Laki-laki,teguh.aulia13@gmail.com,Keuangan & Akuntansi,KONTRAK,6766000,1170000,BSI,9346144473,18,1,0,3,TERCATAT,10
KRY-100,Eko Lestari,Laki-laki,eko.lestari63@outlook.com,Produksi,KONTRAK,11983000,1059000,Mandiri,4089391091,19,0,1,2,TERCATAT,14
