Nama Karyawan,Email,Jabatan,Status Kerja,Gaji Pokok,Tunjangan Jabatan,Bank,No. Rekening,Hari Hadir,Hari Sakit,Hari Cuti,Hari Alpha,Status Input,Jam_Lembur
Dimas Nugraha,dimas.nugraha40@hotmail.com,Teknologi Informasi (IT),KONTRAK,5609000,761000,Mandiri,3619838692,21,2,0,0,TERCATAT,5
Hendra Wijaya,hendra.wijaya88@yahoo.com,Teknologi Informasi (IT),TETAP,10049000,1834000,BSI,6080995732,22,2,2,0,TERCATAT,5
Fajar Ramadhan,fajar.ramadhan53@yahoo.com,Penjualan,TETAP,15863000,2883000,Mandiri,6719739273,22,2,2,0,TERCATAT,4
Indah Utami,indah.utami87@yahoo.com,Legal,TETAP,11755000,1074000,Mandiri,5175170334,22,2,1,0,TERCATAT,18
Dimas Siregar,dimas.siregar41@company.co.id,Customer Service,KONTRAK,11289000,1051000,BRI,5819611414,21,0,0,1,TERCATAT,17
Hani Anggraini,hani.anggraini56@outlook.com,Pemasaran,TETAP,10097000,1343000,BSI,6459222046,18,0,1,3,TERCATAT,10
Iqbal Putra,iqbal.putra61@hotmail.com,Logistik & Gudang,KONTRAK,5473000,1076000,BSI,7681525902,20,2,1,0,TERCATAT,14
Wulan Haryanto,wulan.haryanto31@gmail.com,Legal,TETAP,6896000,955000,Mandiri,6225028969,20,1,1,0,TERCATAT,12
Nanda Saputra,nanda.saputra67@yahoo.com,Operasional,KONTRAK,13641000,1428000,Mandiri,3129039553,19,1,2,0,TERCATAT,3
Kartika Mahendra,kartika.mahendra49@yahoo.com,Logistik & Gudang,TETAP,13381000,1416000,BSI,2586737184,19,2,0,1,TERCATAT,8
Hendra Aulia,hendra.aulia76@hotmail.com,Sumber Daya Manusia (HRD),TETAP,12197000,2251000,BSI,3526769403,19,2,0,1,TERCATAT,3
Vina Yulianto,vina.yulianto52@yahoo.com,Logistik & Gudang,KONTRAK,13617000,2307000,BSI,9154658353,18,2,2,0,TERCATAT,4
Miko Hakim,miko.hakim69@hotmail.com,Operasional,KONTRAK,9400000,867000,Mandiri,3710679829,22,0,0,0,TERCATAT,16
Dimas Haryanto,dimas.haryanto76@yahoo.com,Pemasaran,TETAP,12847000,1407000,BRI,7892160679,20,1,0,1,TERCATAT,7
Lukman Putra,lukman.putra84@gmail.com,Operasional,KONTRAK,10964000,1666000,BRI,9949665869,18,1,2,1,TERCATAT,4
Wulan Hidayat,wulan.hidayat57@company.co.id,Produksi,TETAP,10044000,1662000,BCA,8507069314,21,0,1,0,TERCATAT,11
Miko Kurniawan,miko.kurniawan12@hotmail.com,Teknologi Informasi (IT),TETAP,7840000,1154000,BSI,3059806635,19,1,0,2,TERCATAT,17
Citra Wijaya,citra.wijaya32@yahoo.com,Public Relations (PR),KONTRAK,11031000,1563000,BRI,4327052687,19,2,1,0,TERCATAT,6
Wulan Setiawan,wulan.setiawan75@outlook.com,Keuangan & Akuntansi,KONTRAK,8421000,743000,BRI,6210748778,19,1,2,0,TERCATAT,9
Jihan Yulianto,jihan.yulianto19@gmail.com,Operasional,KONTRAK,7370000,1131000,BNI,4794360166,21,1,2,0,TERCATAT,7
Indah Santoso,indah.santoso46@outlook.com,Pemasaran,KONTRAK,8763000,982000,BCA,6634921635,18,0,2,2,TERCATAT,5
Citra Kusuma,citra.kusuma30@gmail.com,Logistik & Gudang,TETAP,12274000,2351000,BNI,2173317494,18,2,2,0,TERCATAT,7
Nadia Saputra,nadia.saputra91@company.co.id,Teknologi Informasi (IT),TETAP,13976000,1741000,BNI,6343497605,18,1,0,3,TERCATAT,5
Teguh Suryanto,teguh.suryanto20@company.co.id,Penjualan,KONTRAK,10709000,2022000,BSI,3523413731,19,1,2,0,TERCATAT,6
Cahyo Hidayat,cahyo.hidayat17@hotmail.com,Quality Control (QC),KONTRAK,10320000,998000,Mandiri,6905041584,18,2,0,2,TERCATAT,6
Farhan Purnama,farhan.purnama91@hotmail.com,Customer Service,KONTRAK,17575000,3499000,BRI,8179957213,20,1,1,0,TERCATAT,4
Salma Putra,salma.putra34@hotmail.com,Penjualan,TETAP,6105000,744000,BNI,5376070456,20,0,1,1,TERCATAT,2
Eko Ramadhan,eko.ramadhan50@yahoo.com,Produksi,KONTRAK,7962000,1447000,BRI,8934347818,19,1,2,0,TERCATAT,15
Iqbal Anggraini,iqbal.anggraini22@yahoo.com,Sumber Daya Manusia (HRD),TETAP,9678000,952000,BRI,2725814829,18,1,1,2,TERCATAT,20
Eko Wijaya,eko.wijaya32@hotmail.com,Pemasaran,TETAP,7155000,1104000,BNI,6947566084,20,0,0,2,TERCATAT,13
Eko Nugraha,eko.nugraha96@company.co.id,Pengadaan (Procurement),TETAP,7663000,639000,BNI,8084552247,18,0,0,4,TERCATAT,6
Putri Siregar,putri.siregar57@hotmail.com,Teknologi Informasi (IT),TETAP,15343000,1345000,BSI,1733066656,18,2,0,2,TERCATAT,5
Kartika Wijaya,kartika.wijaya70@gmail.com,Legal,TETAP,11355000,2110000,BRI,4073776451,22,1,0,0,TERCATAT,10
Rafi Ananda,rafi.ananda77@gmail.com,Pengadaan (Procurement),KONTRAK,11928000,1967000,BSI,7516237892,20,2,2,0,TERCATAT,3
Iqbal Maulana,iqbal.maulana85@company.co.id,Sumber Daya Manusia (HRD),TETAP,7178000,577000,BSI,9970704357,21,2,1,0,TERCATAT,13
Umar Putra,umar.putra11@hotmail.com,Logistik & Gudang,KONTRAK,15668000,2934000,BNI,3031333205,18,1,1,2,TERCATAT,1
Lukman Ananda,lukman.ananda48@hotmail.com,Sumber Daya Manusia (HRD),KONTRAK,17958000,1980000,Mandiri,9721635969,21,0,2,0,TERCATAT,11
Hendra Kusuma,hendra.kusuma32@gmail.com,Pengadaan (Procurement),TETAP,8240000,1345000,BNI,1476884696,21,0,2,0,TERCATAT,2
Fajar Hakim,fajar.hakim91@gmail.com,Pengadaan (Procurement),KONTRAK,7898000,1015000,BNI,3422755215,18,1,0,3,TERCATAT,14
Taufik Pratama,taufik.pratama80@gmail.com,Customer Service,KONTRAK,9306000,1808000,Mandiri,2155673176,21,1,1,0,TERCATAT,11
Maya Hakim,maya.hakim66@hotmail.com,Teknologi Informasi (IT),KONTRAK,10234000,1140000,BNI,8132203210,22,0,0,0,TERCATAT,0
Iqbal Haryanto,iqbal.haryanto16@hotmail.com,Logistik & Gudang,TETAP,14603000,1177000,BCA,9357325860,19,0,1,2,TERCATAT,16
Budi Wijaya,budi.wijaya82@outlook.com,Keuangan & Akuntansi,TETAP,14960000,1537000,BNI,7113254507,22,0,1,0,TERCATAT,20
Prita Purnama,prita.purnama84@outlook.com,Administrasi,TETAP,7519000,1082000,Mandiri,4572021779,19,2,1,0,TERCATAT,2
Umar Haryanto,umar.haryanto35@gmail.com,Operasional,KONTRAK,6158000,744000,BNI,7258786591,22,2,1,0,TERCATAT,6
Galih Firmansyah,galih.firmansyah95@gmail.com,Penjualan,KONTRAK,6662000,838000,Mandiri,5220812058,19,0,0,3,TERCATAT,11
Joko Kurniawan,joko.kurniawan49@outlook.com,Sumber Daya Manusia (HRD),KONTRAK,6742000,1252000,BSI,9221491383,22,2,2,0,TERCATAT,17
Dimas Hidayat,dimas.hidayat56@yahoo.com,Sumber Daya Manusia (HRD),TETAP,9821000,1872000,BRI,3383438868,21,2,1,0,TERCATAT,11
Sari Firmansyah,sari.firmansyah72@hotmail.com,Quality Control (QC),TETAP,13218000,1231000,BCA,3821468910,18,1,2,1,TERCATAT,18
Sari Kurniawan,sari.kurniawan86@yahoo.com,Sumber Daya Manusia (HRD),TETAP,14272000,1456000,Mandiri,2019720140,20,2,2,0,TERCATAT,10
Farhan Santoso,farhan.santoso93@yahoo.com,Operasional,TETAP,14446000,1246000,BSI,6316962999,19,2,0,1,TERCATAT,8
Hani Susanto,hani.susanto67@yahoo.com,Pemasaran,KONTRAK,7220000,697000,BNI,4469395201,20,1,0,1,TERCATAT,6
Laras Purnama,laras.purnama16@outlook.com,Customer Service,TETAP,9560000,1096000,BRI,3258841132,20,2,2,0,TERCATAT,0
Rafi Putra,rafi.putra83@hotmail.com,Operasional,TETAP,9039000,1046000,BCA,8029760944,18,1,2,1,TERCATAT,19
Jihan Ananda,jihan.ananda92@yahoo.com,Administrasi,KONTRAK,6851000,666000,BNI,9817129910,22,1,0,0,TERCATAT,15
Rizky Suryanto,rizky.suryanto80@gmail.com,Quality Control (QC),TETAP,11395000,1550000,BCA,6269720749,19,0,0,3,TERCATAT,2
Aditya Anggraini,aditya.anggraini21@company.co.id,Administrasi,KONTRAK,13795000,2275000,BNI,9462256602,22,0,0,0,TERCATAT,6
Fajar Wibowo,fajar.wibowo59@hotmail.com,Pengadaan (Procurement),KONTRAK,10335000,1952000,BCA,4115084579,19,2,2,0,TERCATAT,18
Andi Hidayat,andi.hidayat98@yahoo.com,Riset & Pengembangan (R&D),TETAP,9232000,1645000,Mandiri,3880627999,20,2,1,0,TERCATAT,11
Farhan Kusuma,farhan.kusuma74@hotmail.com,Produksi,KONTRAK,14218000,1772000,BRI,3275900828,20,0,1,1,TERCATAT,17
Nadia Hidayat,nadia.hidayat27@yahoo.com,Quality Control (QC),TETAP,14008000,1864000,BSI,8636492494,19,0,1,2,TERCATAT,20
Prita Ananda,prita.ananda59@company.co.id,Pengadaan (Procurement),TETAP,9607000,996000,Mandiri,9378377384,20,0,1,1,TERCATAT,15
Indah Mulyani,indah.mulyani27@yahoo.com,Logistik & Gudang,KONTRAK,11483000,995000,BSI,9320838378,22,0,2,0,TERCATAT,19
Rafi Mahendra,rafi.mahendra92@company.co.id,Teknologi Informasi (IT),TETAP,9714000,1024000,BSI,8771156442,19,1,1,1,TERCATAT,19
Putri Purnama,putri.purnama43@company.co.id,Teknologi Informasi (IT),KONTRAK,8695000,1465000,BRI,1617257994,22,1,1,0,TERCATAT,5
Elsa Siregar,elsa.siregar22@gmail.com,Penjualan,TETAP,7302000,1083000,BSI,2546538906,18,0,0,4,TERCATAT,13
Teguh Aulia,teguh.aulia13@gmail.com,Keuangan & Akuntansi,KONTRAK,6766000,1170000,BSI,9346144473,18,1,0,3,TERCATAT,10
Eko Lestari,eko.lestari63@outlook.com,Produksi,KONTRAK,11983000,1059000,Mandiri,4089391091,19,0,1,2,TERCATAT,14
